condition,lambda,scale,alpha,test_ll_std,test_ll_part,test_acc_std,test_acc_part,delta_ll,delta_acc,n_obs
inference_categories,0.05,0.5,0.3,-0.692313306009079,-0.6428877690911915,0.6550675675675676,0.6733108108108109,0.04942553691788748,0.018243243243243244,148
inference_categories,0.05,0.5,0.5,-0.692313306009079,-0.6439767420346196,0.6550675675675676,0.6763513513513513,0.048336563974459436,0.02128378378378378,148
inference_categories,0.05,0.5,0.75,-0.692313306009079,-0.6454685667781117,0.6550675675675676,0.6790540540540541,0.04684473923096739,0.023986486486486484,148
inference_categories,0.05,0.5,1.0,-0.692313306009079,-0.647084116089845,0.6550675675675676,0.660472972972973,0.045229189919234025,0.005405405405405405,148
inference_categories,0.05,1.0,0.0,-0.692313306009079,-0.641449060345452,0.6550675675675676,0.6733108108108109,0.050864245663627045,0.018243243243243244,148
inference_categories,0.05,1.0,0.02,-0.692313306009079,-0.641612665426816,0.6550675675675676,0.6716216216216216,0.05070064058226294,0.016554054054054055,148
inference_categories,0.05,1.0,0.05,-0.692313306009079,-0.6418665674658655,0.6550675675675676,0.6733108108108109,0.05044673854321355,0.018243243243243244,148
inference_categories,0.05,1.0,0.1,-0.692313306009079,-0.6423094742427505,0.6550675675675676,0.6783783783783784,0.05000383176632847,0.023310810810810812,148
inference_categories,0.05,1.0,0.15,-0.692313306009079,-0.6427718661850929,0.6550675675675676,0.6716216216216216,0.04954143982398608,0.016554054054054055,148
inference_categories,0.05,1.0,0.2,-0.692313306009079,-0.6432478365226825,0.6550675675675676,0.6719594594594595,0.04906546948639646,0.016891891891891893,148
inference_categories,0.05,1.0,0.3,-0.692313306009079,-0.6442207062028018,0.6550675675675676,0.6716216216216216,0.048092599806277225,0.016554054054054055,148
inference_categories,0.05,1.0,0.5,-0.692313306009079,-0.6461540761480639,0.6550675675675676,0.6790540540540541,0.04615922986101514,0.023986486486486484,148
inference_categories,0.05,1.0,0.75,-0.692313306009079,-0.648396057157067,0.6550675675675676,0.6658783783783784,0.04391724885201197,0.010810810810810811,148
inference_categories,0.05,1.0,1.0,-0.692313306009079,-0.6504126490025507,0.6550675675675676,0.672972972972973,0.04190065700652837,0.017905405405405406,148
inference_categories,0.05,1.5,0.0,-0.692313306009079,-0.641449060345452,0.6550675675675676,0.6733108108108109,0.050864245663627045,0.018243243243243244,148
inference_categories,0.05,1.5,0.02,-0.692313306009079,-0.6416954173254724,0.6550675675675676,0.6733108108108109,0.050617888683606636,0.018243243243243244,148
inference_categories,0.05,1.5,0.05,-0.692313306009079,-0.642100293252972,0.6550675675675676,0.6800675675675676,0.050213012756106984,0.025,148
inference_categories,0.05,1.5,0.1,-0.692313306009079,-0.6428577138303163,0.6550675675675676,0.6716216216216216,0.049455592178762706,0.016554054054054055,148
inference_categories,0.05,1.5,0.15,-0.692313306009079,-0.6436963595020938,0.6550675675675676,0.6736486486486487,0.04861694650698514,0.018581081081081082,148
inference_categories,0.05,1.5,0.2,-0.692313306009079,-0.6445904709393881,0.6550675675675676,0.6716216216216216,0.047722835069690925,0.016554054054054055,148
inference_categories,0.05,1.5,0.3,-0.692313306009079,-0.6464588814908665,0.6550675675675676,0.6780405405405405,0.04585442451821253,0.02297297297297297,148
inference_categories,0.05,1.5,0.5,-0.692313306009079,-0.6501427090530856,0.6550675675675676,0.6587837837837838,0.042170596955993456,0.0037162162162162164,148
inference_categories,0.05,1.5,0.75,-0.692313306009079,-0.654271924945321,0.6550675675675676,0.6560810810810811,0.038041381063758054,0.0010135135135135136,148
inference_categories,0.05,1.5,1.0,-0.692313306009079,-0.6578763545984677,0.6550675675675676,0.647972972972973,0.03443695141061127,-0.007094594594594593,148
