lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,18,choice_only,projected,0.73,-0.576524829573268,0.4446028187464846,0.6,0.32230140937324225,0.5020736952870936
0.1,0.5,0.0,18,choice_only,partial,0.73,-0.576524829573268,0.4446028187464846,0.6,0.32230140937324225,0.5020736952870936
0.1,0.5,0.0,18,inference_affirm,standard,0.705,-0.6855773216810296,0.38156212056601285,0.4,0.09078106028300645,0.5031105206374313
0.1,0.5,0.0,18,inference_affirm,projected,0.755,-0.5249892486663712,0.3865390177907869,0.4,0.09326950889539348,0.5031105206374313
0.1,0.5,0.0,18,inference_affirm,partial,0.755,-0.5249892486663712,0.3865390177907869,0.4,0.09326950889539348,0.5031105206374313
0.1,0.5,0.0,18,inference_categories,standard,0.6,-0.6897444268908365,0.2944664191324665,0.3,-0.05276679043376675,0.507775774963844
0.1,0.5,0.0,18,inference_categories,projected,0.55,-0.7047844145203738,0.30690866219440166,0.3,-0.04654566890279918,0.507775774963844
0.1,0.5,0.0,18,inference_categories,partial,0.55,-0.7047844145203738,0.30690866219440166,0.3,-0.04654566890279918,0.507775774963844
0.1,0.5,0.0,19,choice_only,standard,0.8,-0.6780228395662843,0.6467412456168627,0.6,0.42337062280843135,0.6174503802414083
0.1,0.5,0.0,19,choice_only,projected,0.845,-0.4604171443713662,0.6382373814876445,0.7,0.5191186907438222,0.6174503802414083
0.1,0.5,0.0,19,choice_only,partial,0.845,-0.4604171443713662,0.6382373814876445,0.7,0.5191186907438222,0.6174503802414083
0.1,0.5,0.0,19,inference_affirm,standard,0.75,-0.6793727841611602,0.6221247968217574,0.6,0.41106239841087866,0.339984407014563
0.1,0.5,0.0,19,inference_affirm,projected,0.79,-0.495634964503987,0.556779314565659,0.5,0.2783896572828295,0.339984407014563
0.1,0.5,0.0,19,inference_affirm,partial,0.79,-0.495634964503987,0.556779314565659,0.5,0.2783896572828295,0.339984407014563
0.1,0.5,0.0,19,inference_categories,standard,0.755,-0.6803283638354207,0.7286468843351228,0.8,0.6643234421675615,0.3417441789406982
0.1,0.5,0.0,19,inference_categories,projected,0.795,-0.49204517625748273,0.6664344046529471,0.7,0.5332172023264735,0.3417441789406982
0.1,0.5,0.0,19,inference_categories,partial,0.795,-0.49204517625748273,0.6664344046529471,0.7,0.5332172023264735,0.3417441789406982
0.1,0.5,0.0,20,choice_only,standard,0.625,-0.6864484878276359,0.43908373721801913,0.6,0.31954186860900957,0.3898317900310693
0.1,0.5,0.0,20,choice_only,projected,0.76,-0.5126829039758994,0.45987600332583617,0.5,0.22993800166291808,0.3898317900310693
0.1,0.5,0.0,20,choice_only,partial,0.76,-0.5126829039758994,0.45987600332583617,0.5,0.22993800166291808,0.3898317900310693
0.1,0.5,0.0,20,inference_affirm,standard,0.66,-0.6861070725320333,0.5263297165723888,0.7,0.46316485828619436,0.5384001181018837
0.1,0.5,0.0,20,inference_affirm,projected,0.77,-0.5369028775314539,0.5878911319112196,0.7,0.49394556595560973,0.5384001181018837
0.1,0.5,0.0,20,inference_affirm,partial,0.77,-0.5369028775314539,0.5878911319112196,0.7,0.49394556595560973,0.5384001181018837
0.1,0.5,0.0,20,inference_categories,standard,0.655,-0.6865040051330488,0.5116528228492238,0.6,0.35582641142461185,0.523170845352211
0.1,0.5,0.0,20,inference_categories,projected,0.735,-0.5312837856673003,0.5487527486494463,0.6,0.37437637432472315,0.523170845352211
0.1,0.5,0.0,20,inference_categories,partial,0.735,-0.5312837856673003,0.5487527486494463,0.6,0.37437637432472315,0.523170845352211
0.1,0.5,0.0,21,choice_only,standard,0.48,-0.6929735095910428,0.40558226234933475,0.3,0.002791131174667366,0.49656058459029506
0.1,0.5,0.0,21,choice_only,projected,0.605,-0.662605505096827,0.40007911089276305,0.3,3.955544638151176e-05,0.49656058459029506
0.1,0.5,0.0,21,choice_only,partial,0.605,-0.662605505096827,0.40007911089276305,0.3,3.955544638151176e-05,0.49656058459029506
0.1,0.5,0.0,21,inference_affirm,standard,0.565,-0.691200810084309,0.3951262745818485,0.3,-0.0024368627090757544,0.3611987110546962
0.1,0.5,0.0,21,inference_affirm,projected,0.64,-0.6252738650168755,0.3670602021533328,0.2,-0.11646989892333359,0.3611987110546962
0.1,0.5,0.0,21,inference_affirm,partial,0.64,-0.6252738650168755,0.3670602021533328,0.2,-0.11646989892333359,0.3611987110546962
0.1,0.5,0.0,21,inference_categories,standard,0.475,-0.6932560291486621,0.4941830008001392,0.2,-0.05290849959993038,0.5130670086246337
0.1,0.5,0.0,21,inference_categories,projected,0.655,-0.624211312393742,0.5150949763351118,0.2,-0.042452511832444084,0.5130670086246337
0.1,0.5,0.0,21,inference_categories,partial,0.655,-0.624211312393742,0.5150949763351118,0.2,-0.042452511832444084,0.5130670086246337
0.1,0.5,0.0,22,choice_only,standard,0.735,-0.6862702708555198,0.4069793345336368,0.8,0.5034896672668184,0.5946828206644583
0.1,0.5,0.0,22,choice_only,projected,0.725,-0.5304421128942084,0.5603226423122478,0.8,0.580161321156124,0.5946828206644583
0.1,0.5,0.0,22,choice_only,partial,0.725,-0.5304421128942084,0.5603226423122478,0.8,0.580161321156124,0.5946828206644583
0.1,0.5,0.0,22,inference_affirm,standard,0.755,-0.6859065742857982,0.4929445222277066,0.6,0.3464722611138533,0.6375765621709539
0.1,0.5,0.0,22,inference_affirm,projected,0.755,-0.5246013583501687,0.518888970766007,0.7,0.4594444853830035,0.6375765621709539
