lambda,gamma,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,test_acc_blend,test_ll_blend,delta_ll,delta_acc
0.001,0.0,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,0,4,0.75,-0.6919509454770811,0.5,-0.4643238766815915,0.75,-0.6919509454770811,0.0,0.0
0.001,0.0,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,1,4,0.5,-0.693423134032705,0.75,-1.5008383084611203,0.5,-0.693423134032705,0.0,0.0
0.001,0.0,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,2,4,0.5,-0.692956189895669,0.75,-0.5714678080028847,0.5,-0.692956189895669,0.0,0.0
0.001,0.0,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,3,4,0.5,-0.6922843616630568,0.5,-1.2280791214182853,0.5,-0.6922843616630568,0.0,0.0
0.001,0.0,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,4,4,1.0,-0.6918221546867992,0.5,-0.9535249927813644,1.0,-0.6918221546867992,0.0,0.0
0.001,0.0,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,0,4,0.5,-0.6921819867098238,0.5,-0.8540638730115355,0.5,-0.6921819867098238,0.0,0.0
0.001,0.0,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,1,4,0.75,-0.6927603848918005,0.5,-1.1282950872933486,0.75,-0.6927603848918005,0.0,0.0
0.001,0.0,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,2,4,0.5,-0.6928712779217644,0.5,-1.443526546212972,0.5,-0.6928712779217644,0.0,0.0
0.001,0.0,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,3,4,0.75,-0.6917737093762071,0.5,-0.4856472576871913,0.75,-0.6917737093762071,0.0,0.0
0.001,0.0,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,4,4,1.0,-0.691789791299691,0.5,-0.6926715670626151,1.0,-0.691789791299691,0.0,0.0
0.001,0.0,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,0,4,0.75,-0.6911846470944386,0.75,-0.8192335568473317,0.75,-0.6911846470944386,0.0,0.0
0.001,0.0,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,1,4,0.75,-0.69164818192401,1.0,-0.22301254715747199,0.75,-0.69164818192401,0.0,0.0
