condition,lambda,gamma,alpha,test_ll_std,test_ll_part,test_ll_blend,test_acc_std,test_acc_part,test_acc_blend,delta_ll,delta_acc,n_obs
choice_only,0.05,0.25,0.25,-0.6926096445676121,-0.6548652643993677,-0.680735963831851,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.011873680735761064,0.012096774193548385,62
choice_only,0.05,0.25,0.5,-0.6926096445676121,-0.6548652643993677,-0.680735963831851,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.011873680735761064,0.012096774193548385,62
choice_only,0.05,0.25,0.75,-0.6926096445676121,-0.6548652643993677,-0.680735963831851,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.011873680735761064,0.012096774193548385,62
choice_only,0.05,0.25,1.0,-0.6926096445676121,-0.6548652643993677,-0.680735963831851,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.011873680735761064,0.012096774193548385,62
choice_only,0.05,0.5,0.0,-0.6926096445676121,-0.6548652643993677,-0.6705194314242218,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.022090213143390314,0.012096774193548385,62
choice_only,0.05,0.5,0.25,-0.6926096445676121,-0.6548652643993677,-0.6705194314242218,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.022090213143390314,0.012096774193548385,62
choice_only,0.05,0.5,0.5,-0.6926096445676121,-0.6548652643993677,-0.6705194314242218,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.022090213143390314,0.012096774193548385,62
choice_only,0.05,0.5,0.75,-0.6926096445676121,-0.6548652643993677,-0.6705194314242218,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.022090213143390314,0.012096774193548385,62
choice_only,0.05,0.5,1.0,-0.6926096445676121,-0.6548652643993677,-0.6705194314242218,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.022090213143390314,0.012096774193548385,62
choice_only,0.05,0.75,0.0,-0.6926096445676121,-0.6548652643993677,-0.6619170763104428,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.030692568257169248,0.012096774193548385,62
choice_only,0.05,0.75,0.25,-0.6926096445676121,-0.6548652643993677,-0.6619170763104428,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.030692568257169248,0.012096774193548385,62
choice_only,0.05,0.75,0.5,-0.6926096445676121,-0.6548652643993677,-0.6619170763104428,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.030692568257169248,0.012096774193548385,62
choice_only,0.05,0.75,0.75,-0.6926096445676121,-0.6548652643993677,-0.6619170763104428,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.030692568257169248,0.012096774193548385,62
