lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,15,choice_only,standard,0.64,-0.6925747152770889,0.27747519024771844,0.5,0.13873759512385922,0.3821829505039614
0.1,0.5,0.0,15,choice_only,projected,0.72,-0.6580985781451427,0.2853580081524831,0.4,0.04267900407624156,0.3821829505039614
0.1,0.5,0.0,15,choice_only,partial,0.72,-0.6580985781451427,0.2853580081524831,0.4,0.04267900407624156,0.3821829505039614
0.1,0.5,0.0,15,inference_affirm,standard,0.68,-0.6914672161225606,0.3153127161905891,0.5,0.15765635809529455,0.5068970281704325
0.1,0.5,0.0,15,inference_affirm,projected,0.71,-0.6142616191826239,0.3263486612572597,0.5,0.16317433062862985,0.5068970281704325
0.1,0.5,0.0,15,inference_affirm,partial,0.71,-0.6142616191826239,0.3263486612572597,0.5,0.16317433062862985,0.5068970281704325
0.1,0.5,0.0,15,inference_categories,standard,0.68,-0.6924217560322886,0.19391732045721227,0.5,0.09695866022860614,0.5049266017471299
0.1,0.5,0.0,15,inference_categories,projected,0.68,-0.6484684128182672,0.20180013836197702,0.5,0.10090006918098851,0.5049266017471299
0.1,0.5,0.0,15,inference_categories,partial,0.68,-0.6484684128182672,0.20180013836197702,0.5,0.10090006918098851,0.5049266017471299
0.1,0.5,0.0,16,choice_only,standard,0.73,-0.6901646078841424,0.199609031001353,0.3,-0.10019548449932351,0.5037055453555944
0.1,0.5,0.0,16,choice_only,projected,0.77,-0.5900619451869108,0.205538012120205,0.3,-0.09723099393989751,0.5037055453555944
0.1,0.5,0.0,16,choice_only,partial,0.77,-0.5900619451869108,0.205538012120205,0.3,-0.09723099393989751,0.5037055453555944
0.1,0.5,0.0,16,inference_affirm,standard,0.74,-0.6913877108417681,0.2114669932390571,0.3,-0.09426650338047146,0.4888849918598351
0.1,0.5,0.0,16,inference_affirm,projected,0.76,-0.6257752499952913,0.1936800498825009,0.3,-0.10315997505874956,0.4888849918598351
0.1,0.5,0.0,16,inference_affirm,partial,0.76,-0.6257752499952913,0.1936800498825009,0.3,-0.10315997505874956,0.4888849918598351
0.1,0.5,0.0,16,inference_categories,standard,0.73,-0.690512496835797,0.2154196473182918,0.3,-0.09229017634085411,0.4901196511465524
0.1,0.5,0.0,16,inference_categories,projected,0.74,-0.5998173726622184,0.199609031001353,0.3,-0.10019548449932351,0.4901196511465524
0.1,0.5,0.0,16,inference_categories,partial,0.74,-0.5998173726622184,0.199609031001353,0.3,-0.10019548449932351,0.4901196511465524
0.1,0.5,0.0,17,choice_only,standard,0.68,-0.6919471467007895,0.40986613166372104,0.4,0.10493306583186054,0.45996346050673653
0.1,0.5,0.0,17,choice_only,projected,0.72,-0.6429541701007736,0.34567023152362014,0.4,0.07283511576181009,0.45996346050673653
0.1,0.5,0.0,17,choice_only,partial,0.72,-0.6429541701007736,0.34567023152362014,0.4,0.07283511576181009,0.45996346050673653
0.1,0.5,0.0,17,inference_affirm,standard,0.69,-0.6917663509096086,0.33908603663745596,0.4,0.069543018318728,0.4784090456180164
0.1,0.5,0.0,17,inference_affirm,projected,0.71,-0.634608639989208,0.3045190134850939,0.4,0.05225950674254698,0.4784090456180164
0.1,0.5,0.0,17,inference_affirm,partial,0.71,-0.634608639989208,0.3045190134850939,0.4,0.05225950674254698,0.4784090456180164
0.1,0.5,0.0,17,inference_categories,standard,0.72,-0.6922697822537731,0.3226255494220455,0.3,-0.03868722528897725,0.4825178615389053
0.1,0.5,0.0,17,inference_categories,projected,0.7,-0.6588235477336717,0.29464272115584766,0.3,-0.05267863942207618,0.4825178615389053
0.1,0.5,0.0,17,inference_categories,partial,0.7,-0.6588235477336717,0.29464272115584766,0.3,-0.05267863942207618,0.4825178615389053
0.1,0.5,0.0,18,choice_only,standard,0.75,-0.6920567179463498,0.37999016616266335,0.3,-0.010004916918668338,0.6406825384492778
0.1,0.5,0.0,18,choice_only,projected,0.77,-0.6408459258944393,0.4113212792289294,0.4,0.10566063961446473,0.6406825384492778
0.1,0.5,0.0,18,choice_only,partial,0.77,-0.6408459258944393,0.4113212792289294,0.4,0.10566063961446473,0.6406825384492778
0.1,0.5,0.0,18,inference_affirm,standard,0.68,-0.6921041040374786,0.1968236590060307,0.4,-0.0015881704969846339,0.5210757537435261
0.1,0.5,0.0,18,inference_affirm,projected,0.73,-0.6464393464663079,0.23056485769277885,0.4,0.015282428846389445,0.5210757537435261
0.1,0.5,0.0,18,inference_affirm,partial,0.73,-0.6464393464663079,0.23056485769277885,0.4,0.015282428846389445,0.5210757537435261
0.1,0.5,0.0,18,inference_categories,standard,0.73,-0.6919065118559752,0.263502694506033,0.4,0.03175134725301651,0.5085348908026972
