lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,0.75,0.5,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.75,0.5,inference_affirm,partial,0.2164950488650821,0.39666666666666667,-0.6517473316274371,0.6873333333333334,0.004914191099207708,0.5424663760820239
0.1,0.75,0.5,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5424663760820239
0.1,0.75,0.5,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5424663760820239
0.1,0.75,0.5,inference_categories,partial,0.24976608586330654,0.4233333333333333,-0.6461481482543814,0.715,0.04821637626498661,0.5315878987070826
0.1,0.75,0.5,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5315878987070826
0.1,0.75,0.5,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5315878987070826
0.1,0.75,0.75,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.75,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.75,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.75,0.75,inference_affirm,partial,0.2225372669855031,0.38999999999999996,-0.6548955286629283,0.6869999999999999,0.0012686334927515604,0.5405431386386595
0.1,0.75,0.75,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5405431386386595
0.1,0.75,0.75,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5405431386386595
0.1,0.75,0.75,inference_categories,partial,0.23656598652218044,0.41000000000000003,-0.6503641058581783,0.7056666666666668,0.028282993261090215,0.5072700818177888
0.1,0.75,0.75,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5072700818177888
0.1,0.75,0.75,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5072700818177888
0.1,0.75,1.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,1.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,1.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.75,1.0,inference_affirm,partial,0.22682691287246248,0.39666666666666667,-0.6582260970359683,0.6843333333333333,0.0100801231028979,0.5509021041164186
0.1,0.75,1.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5509021041164186
0.1,0.75,1.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5509021041164186
0.1,0.75,1.0,inference_categories,partial,0.22758578872117244,0.4033333333333333,-0.6544689724026863,0.6916666666666667,0.01712622769391955,0.495206309346147
0.1,0.75,1.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.495206309346147
0.1,0.75,1.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.495206309346147
0.1,1.0,0.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.0,0.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.0,0.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.0,0.0,inference_affirm,partial,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,1.0,0.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,1.0,0.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5329071981603242
