user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
16,choice_only,20,0.43512199114718836,0.6,-0.688839944524387,0.39520337841945463,0.3,1.0,-0.0023983107902726952,0.6,-0.6987557303932084,0.29081003317657983,0.3,1.0,-0.054594983411710096,0.6,-0.6987557303932084,0.29081003317657983,0.3,1.0,-0.054594983411710096
16,inference_affirm,20,0.65335439171755,0.65,-0.691272337543191,-0.23115669303779424,0.1,1.0,-0.5155783465188971,0.6,-0.6863625821217426,0.0521966726214374,0.2,1.0,-0.27390166368928126,0.55,-0.6747634566901037,0.022370002552044604,0.1,1.0,-0.38881499872397773
16,inference_categories,20,0.8782559196628836,0.45,-0.6963464262225523,-0.17150335289900862,0.2,1.0,-0.3857516764495043,0.4,-0.774413783136953,0.4697700535929367,0.3,1.0,0.03488502679646835,0.5,-0.7074130605594591,0.6189034039399006,0.2,1.0,0.009451701969950321
17,choice_only,20,0.5908848497589122,0.75,-0.6876097436684391,0.24219967151691824,0.2,1.0,-0.17890016424154087,0.8,-0.3787795067707955,0.3892494720807615,0.2,1.0,-0.10537526395961924,0.8,-0.3787795067707955,0.3892494720807615,0.2,1.0,-0.10537526395961924
17,inference_affirm,20,0.7588021362993596,0.65,-0.688809716121078,0.24219967151691824,0.2,1.0,-0.17890016424154087,0.7,-0.422528190192207,0.7006490497453708,0.2,1.0,0.050324524872685406,0.75,-0.5707087041703426,0.7006490497453708,0.2,1.0,0.050324524872685406
17,inference_categories,20,0.7214164807118251,0.75,-0.6874190101943092,0.24219967151691824,0.2,1.0,-0.17890016424154087,0.9,-0.2753255015122665,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.85,-0.5381343210877245,0.6227991553292185,0.2,1.0,0.01139957766460925
18,choice_only,20,0.42224033487675605,0.65,-0.6903345207013549,0.3802900433847583,0.3,1.0,-0.00985497830762086,0.9,-0.43904784094825156,0.45485671855824034,0.2,1.0,-0.07257164072087982,0.9,-0.43904784094825156,0.45485671855824034,0.2,1.0,-0.07257164072087982
18,inference_affirm,20,0.6100208952681446,0.7,-0.6916430285196802,0.24607002807249062,0.3,1.0,-0.0769649859637547,0.75,-0.45637866530725485,0.3057233682112762,0.3,1.0,-0.047138315894361904,0.8,-0.6035272512645886,0.42503004848884746,0.3,1.0,0.012515024244423717
18,inference_categories,20,0.7605657044439825,0.65,-0.6899235997670291,0.0521966726214374,0.3,1.0,-0.1739016636892813,0.8,-0.42046760704610636,0.29081003317657983,0.3,1.0,-0.054594983411710096,0.75,-0.5933552931987671,0.5145100586970258,0.3,1.0,0.0572550293485129
19,choice_only,20,0.6064703470734771,0.65,-0.6919176254204514,0.5103493078392206,0.2,1.0,-0.04482534608038968,0.95,-0.43312620589484147,0.6833490732084478,0.2,1.0,0.04167453660422393,0.95,-0.43312620589484147,0.6833490732084478,0.2,1.0,0.04167453660422393
19,inference_affirm,20,0.7126416729272431,0.6,-0.6889035230926823,0.32004956593307055,0.2,1.0,-0.13997521703346472,0.75,-0.5953585227297202,0.3027495893961478,0.2,1.0,-0.14862520530192608,0.6,-0.6610159719249855,0.6833490732084478,0.2,1.0,0.04167453660422393
19,inference_categories,20,0.6615869193312389,0.55,-0.6926818023376363,0.35464951900691605,0.2,1.0,-0.12267524049654197,0.85,-0.34478358702809225,0.5881992022553729,0.2,1.0,-0.005900398872313528,0.85,-0.5874923636058951,0.6227991553292185,0.2,1.0,0.01139957766460925
20,choice_only,20,0.1890945606627261,0.8,-0.6774588875731349,0.10924619871982703,0.4,1.0,-0.04537690064008646,0.85,-0.28446921191766733,-0.2731154967995676,0.3,1.0,-0.3365577483997838,0.85,-0.28446921191766733,-0.2731154967995676,0.3,1.0,-0.3365577483997838
20,inference_affirm,20,0.43633599072352314,0.75,-0.681756931693354,0.1229019735598054,0.4,1.0,-0.03854901322009728,0.75,-0.5638666430862929,-0.0614509867799027,0.3,1.0,-0.23072549338995135,0.75,-0.6100568687033174,0.020483662259967565,0.4,1.0,-0.0897581688700162
20,inference_categories,20,0.6741212262726922,0.65,-0.6902424331669683,0.11607408613981621,0.2,1.0,-0.2419629569300919,0.8,-0.40643022430452314,0.09559042387984865,0.4,1.0,-0.052204788060075655,0.8,-0.568698126033343,0.00682788741998919,0.4,1.0,-0.09658605629000538
21,choice_only,20,0.6100208952681446,0.8,-0.6910066629937934,0.27589669814188345,0.2,1.0,-0.16205165092905827,0.5,-0.6893446401770422,0.45485671855824034,0.2,1.0,-0.07257164072087982,0.5,-0.6893446401770422,0.45485671855824034,0.2,1.0,-0.07257164072087982
21,inference_affirm,20,0.5740187428156868,0.85,-0.6909585136087373,0.1565900178643122,0.2,1.0,-0.2217049910678439,0.55,-0.6679135282572395,0.39520337841945463,0.2,1.0,-0.10239831079027267,0.6,-0.6681014208839129,0.27589669814188345,0.2,1.0,-0.16205165092905827
21,inference_categories,20,0.2794079931855598,0.45,-0.6939622969149544,0.5741633988358116,0.3,1.0,0.08708169941790578,0.6,-0.6515812322860779,0.45485671855824034,0.2,1.0,-0.07257164072087982,0.55,-0.6856140503734225,0.39520337841945463,0.2,1.0,-0.10239831079027267
22,choice_only,20,0.6975271757374675,0.8,-0.6852625415384523,0.36537670835006186,0.1,1.0,-0.2173116458249691,0.75,-0.5727099398565889,0.49959672366232943,0.2,1.0,-0.05020163816883527,0.75,-0.5727099398565889,0.49959672366232943,0.2,1.0,-0.05020163816883527
22,inference_affirm,20,0.7396082550274423,0.6,-0.6897913653096884,0.03728333758674101,0.2,1.0,-0.2813583312066295,0.65,-0.6374469537018016,0.5145100586970258,0.2,1.0,-0.04274497065148708,0.7,-0.6477343035968454,0.45485671855824034,0.2,1.0,-0.07257164072087982
22,inference_categories,20,0.595837267172456,0.35,-0.6937275079876644,0.45485671855824034,0.2,1.0,-0.07257164072087982,0.45,-0.7754170636886262,0.17150335289900862,0.2,1.0,-0.21424832355049567,0.4,-0.7092418455327186,0.41011671345415107,0.3,1.0,0.005058356727075525
23,choice_only,20,0.21704847155698154,0.6,-0.6940146020869262,0.36537670835006186,0.2,1.0,-0.11731164582496906,0.1,-0.8230487315623914,0.0521966726214374,0.1,1.0,-0.37390166368928135,0.1,-0.8230487315623914,0.0521966726214374,0.1,1.0,-0.37390166368928135
