persona_id,condition,trial,accuracy,log_likelihood
1,slider,15,0.68,-0.6929279099294205
1,partial,15,0.66,-0.6928127438828422
1,standard,16,0.64,-0.6925675664595312
1,projected,16,0.64,-0.6929506900288723
1,slider,16,0.68,-0.6928881239861204
1,partial,16,0.66,-0.6927276284332716
1,standard,17,0.66,-0.6925021283285823
1,projected,17,0.62,-0.6929663173305566
1,slider,17,0.66,-0.6929013980337311
1,partial,17,0.68,-0.6927014961392275
1,standard,18,0.66,-0.6924471290217892
1,projected,18,0.68,-0.692947082691844
1,slider,18,0.68,-0.6928823046247721
1,partial,18,0.66,-0.6926644333761541
1,standard,19,0.66,-0.6924471341018434
1,projected,19,0.68,-0.6929309253999792
1,slider,19,0.64,-0.692863375012951
1,partial,19,0.66,-0.6926549401498735
1,standard,20,0.66,-0.6924812473341878
1,projected,20,0.64,-0.6929667345032223
1,slider,20,0.66,-0.6929023421894412
1,partial,20,0.64,-0.6926914712889642
1,standard,21,0.66,-0.6924382516876247
1,projected,21,0.64,-0.6929371106275581
1,slider,21,0.66,-0.6928676170497035
1,partial,21,0.66,-0.6926525999431515
1,standard,22,0.66,-0.6924774085607026
1,projected,22,0.62,-0.6929469391799824
1,slider,22,0.64,-0.6928815601496872
1,partial,22,0.66,-0.6926791265929304
1,standard,23,0.68,-0.6924240288737762
1,projected,23,0.64,-0.6929380875893517
1,slider,23,0.64,-0.6928699902060462
1,partial,23,0.68,-0.6926467192017717
1,standard,24,0.64,-0.6924510439167415
1,projected,24,0.62,-0.6929324892329758
1,slider,24,0.64,-0.6928664817171503
1,partial,24,0.66,-0.6926584758626001
1,standard,25,0.68,-0.6924724654358559
1,projected,25,0.58,-0.6929380902884293
1,slider,25,0.62,-0.6928544476365395
1,partial,25,0.66,-0.6926631743616752
1,standard,26,0.64,-0.6925025609763644
1,projected,26,0.58,-0.6929466671321248
1,slider,26,0.62,-0.6928601880192317
1,partial,26,0.66,-0.6926810921840417
1,standard,27,0.6,-0.6925359922737505
1,projected,27,0.6,-0.6929700770862028
1,slider,27,0.64,-0.69288106926535
1,partial,27,0.64,-0.6927082615694365
1,standard,28,0.56,-0.6925426782214236
1,projected,28,0.62,-0.6929477722095908
1,slider,28,0.62,-0.6928483446416174
1,partial,28,0.6,-0.6926952203552635
1,standard,29,0.56,-0.6926111197638388
1,projected,29,0.6,-0.6929797165458135
1,slider,29,0.62,-0.6928796755136791
1,partial,29,0.62,-0.6927451021773439
1,standard,30,0.54,-0.6926104591332506
1,projected,30,0.6,-0.6929668326558196
1,slider,30,0.64,-0.6928631032674424
1,partial,30,0.62,-0.6927364954097179
1,standard,31,0.56,-0.6926438578620239
1,projected,31,0.6,-0.6929840549406144
1,slider,31,0.64,-0.6928751703074184
1,partial,31,0.58,-0.6927592168815698
1,standard,32,0.56,-0.6925980196340911
1,projected,32,0.62,-0.6929512854627015
1,slider,32,0.62,-0.6928401158184303
1,partial,32,0.6,-0.6927187531333482
