user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
16,choice_only,20,0.8520010705273661,0.645,-0.688510019386316,0.5401113453362394,0.5,0.3,0.2700556726681197,0.785,-0.4809026760963981,0.6402644424846812,0.8,0.4,0.6201322212423406,0.785,-0.4809026760963981,0.6402644424846812,0.8,0.4,0.6201322212423406
16,inference_affirm,20,0.8255510466278316,0.68,-0.6853299671850798,0.46976571757721486,0.6,0.4,0.3348828587886074,0.815,-0.4532578306013532,0.6478156680633335,0.7,0.4,0.5239078340316667,0.83,-0.4347739153744399,0.6915332898344787,0.8,0.6,0.6457666449172395
16,inference_categories,20,0.46374098317072016,0.665,-0.68785583889915,0.504739814994131,0.7,0.4,0.45236990749706546,0.795,-0.48102075484673995,0.6192004974494929,0.8,0.5,0.6096002487247465,0.76,-0.5060487169658409,0.6466233692877568,0.6,0.4,0.42331168464387836
17,choice_only,20,0.3360628727111059,0.65,-0.6870417829341339,0.3700337328522477,0.3,0.5,-0.01498313357387615,0.73,-0.5255643658292445,0.29767805543100767,0.2,0.3,-0.15116097228449615,0.73,-0.5255643658292445,0.29767805543100767,0.2,0.3,-0.15116097228449615
17,inference_affirm,20,0.3522275802725226,0.635,-0.6860036717454685,0.2782537124991311,0.4,0.6,0.03912685624956558,0.715,-0.5619599932837669,0.3263289612555255,0.4,0.6,0.06316448062776278,0.72,-0.5807516322630021,0.23454894090240896,0.3,0.5,-0.08272552954879553
17,inference_categories,20,0.4848293899596621,0.715,-0.6858759567536026,0.42636432735468954,0.3,0.4,0.01318216367734476,0.7,-0.5792566356720783,0.4166521558887513,0.3,0.5,0.008326077944375648,0.69,-0.5124238475449829,0.4020838986898439,0.3,0.4,0.0010419493449219386
18,choice_only,20,0.6345630009579681,0.735,-0.6797425462036096,0.13271725932730882,0.4,0.3,-0.033641370336345566,0.795,-0.4425033930704526,0.15345433109720083,0.5,0.5,0.07672716554860042,0.795,-0.4425033930704526,0.15345433109720083,0.5,0.5,0.07672716554860042
18,inference_affirm,20,0.9647195764628064,0.67,-0.684222987279141,0.22810778946881202,0.4,0.4,0.014053894734406033,0.735,-0.5242294248050482,0.37990315482442155,0.6,0.6,0.2899515774122108,0.78,-0.494547655197469,0.7515114809408863,0.8,0.8,0.6757557404704432
18,inference_categories,20,0.8469717752932273,0.725,-0.6804881727167278,0.07050604401763282,0.5,0.4,0.03525302200881641,0.825,-0.44621525235770143,0.19161054315380213,0.5,0.4,0.09580527157690107,0.765,-0.48660646641802735,0.5549240405623102,0.6,0.5,0.37746202028115505
19,choice_only,20,0.4545295991730454,0.725,-0.6843348077780308,0.6261529429882291,0.5,0.6,0.31307647149411455,0.69,-0.5568382749739391,0.5531987401954619,0.5,0.5,0.27659937009773095,0.69,-0.5568382749739391,0.5531987401954619,0.5,0.5,0.27659937009773095
19,inference_affirm,20,0.45231116557084283,0.745,-0.6833255175846609,0.7071634381139399,0.6,0.7,0.4535817190569699,0.79,-0.4798229656362456,0.6820994175225598,0.6,0.7,0.44104970876127986,0.68,-0.5965190629573361,0.6306286609509756,0.6,0.7,0.41531433047548777
