lambda,scale,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,delta_ll,delta_acc
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,1,4,0.75,-0.6927603848918005,0.5,-0.7067242866435739,-0.013963901751773422,-0.25
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,2,4,0.5,-0.6928712779217644,0.5,-0.7432818946712201,-0.05041061674945568,0.0
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,3,4,0.75,-0.6917737093762071,0.75,-0.5770912702787553,0.1146824390974518,0.0
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,4,4,1.0,-0.691789791299691,1.0,-0.590054771776453,0.10173501952323794,0.0
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,0,4,0.75,-0.6911846470944386,0.75,-0.5595280695072004,0.13165657758723825,0.0
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,1,4,0.75,-0.69164818192401,0.75,-0.5600649163795628,0.13158326554444721,0.0
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,2,4,1.0,-0.6907843678215682,1.0,-0.5202674912253968,0.17051687659617132,0.0
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,3,4,0.75,-0.6922579415528716,0.5,-0.671509292154723,0.020748649398148578,-0.25
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,inference_categories,dailydilemmas,4,4,0.75,-0.6916794143622071,0.75,-0.5874900125046884,0.10418940185751879,0.0
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,inference_categories,dailydilemmas,0,4,0.5,-0.6935653153634046,0.5,-0.7651524277978088,-0.07158711243440419,0.0
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,inference_categories,dailydilemmas,1,4,0.75,-0.6922413992091314,0.75,-0.6579416949684038,0.03429970424072759,0.0
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,inference_categories,dailydilemmas,2,4,0.5,-0.6929267303893999,0.5,-0.7514646609185971,-0.0585379305291972,0.0
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,inference_categories,dailydilemmas,3,4,1.0,-0.6920532080201354,0.5,-0.6989562515300196,-0.0069030435098842435,-0.5
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,inference_categories,dailydilemmas,4,4,0.5,-0.692874388257928,0.5,-0.712095844822686,-0.019221456564757933,0.0
0.05,0.5,0.0,R_6gCrJV80LvD23XK,choice_only,dailydilemmas,0,4,0.5,-0.693771785100323,0.5,-0.7623043658938501,-0.06853258079352709,0.0
0.05,0.5,0.0,R_6gCrJV80LvD23XK,choice_only,dailydilemmas,1,4,1.0,-0.6920506137011905,1.0,-0.5697211733364957,0.12232944036469473,0.0
0.05,0.5,0.0,R_6gCrJV80LvD23XK,choice_only,dailydilemmas,2,4,0.75,-0.692272194395104,0.75,-0.6406146439800595,0.051657550415044495,0.0
0.05,0.5,0.0,R_6gCrJV80LvD23XK,choice_only,dailydilemmas,3,4,0.25,-0.6935722697383494,0.25,-0.7311366754598347,-0.03756440572148534,0.0
0.05,0.5,0.0,R_6gCrJV80LvD23XK,choice_only,dailydilemmas,4,4,0.5,-0.69288341392352,0.5,-0.6717138202882612,0.021169593635258832,0.0
0.05,0.5,0.0,R_7SrhV7HvgsG1fvA,choice_only,dailydilemmas,0,4,0.5,-0.6919869228690966,0.5,-0.6417624386169318,0.05022448425216475,0.0
