persona_id,condition,fit_type,n_trials,test_acc,test_ll
3,inference_categories,projected,2,0.68,-0.6723552979785175
3,inference_categories,partial,2,0.64,-0.6772374658201579
3,inference_categories,standard,3,0.72,-0.6930014112614562
3,inference_categories,projected,3,0.66,-0.6767769165839966
3,inference_categories,partial,3,0.58,-0.6783283927862966
3,inference_categories,standard,4,0.7,-0.6929658787555181
3,inference_categories,projected,4,0.64,-0.6701556423873479
3,inference_categories,partial,4,0.68,-0.6713195254623107
3,inference_categories,standard,5,0.7,-0.6928922869792234
3,inference_categories,projected,5,0.64,-0.6607858476998654
3,inference_categories,partial,5,0.68,-0.6650453364146165
3,inference_categories,standard,6,0.66,-0.6928795179357818
3,inference_categories,projected,6,0.7,-0.6580077575314641
3,inference_categories,partial,6,0.64,-0.6635127946514596
3,inference_categories,standard,7,0.64,-0.6930299013269514
3,inference_categories,projected,7,0.6,-0.6723966144995722
3,inference_categories,partial,7,0.62,-0.6686572185886795
3,inference_categories,standard,8,0.66,-0.6930255055430934
3,inference_categories,projected,8,0.6,-0.6708202253009258
3,inference_categories,partial,8,0.64,-0.6670484374613508
3,inference_categories,standard,9,0.62,-0.6927731875802188
3,inference_categories,projected,9,0.72,-0.6512750906006238
3,inference_categories,partial,9,0.6,-0.6526317364351643
3,inference_categories,standard,10,0.64,-0.6928713534203133
3,inference_categories,projected,10,0.62,-0.6607673166131508
3,inference_categories,partial,10,0.66,-0.6648581928665064
3,inference_categories,standard,11,0.66,-0.6928418360100973
3,inference_categories,projected,11,0.64,-0.6595200702607843
3,inference_categories,partial,11,0.64,-0.6624763149490289
3,inference_categories,standard,12,0.68,-0.6927629917516391
3,inference_categories,projected,12,0.68,-0.6540061879027101
3,inference_categories,partial,12,0.66,-0.6578282102775684
3,inference_categories,standard,13,0.68,-0.6928356777457517
3,inference_categories,projected,13,0.7,-0.6598885991876006
3,inference_categories,partial,13,0.66,-0.6663041172323334
3,inference_categories,standard,14,0.64,-0.6926983395808464
3,inference_categories,projected,14,0.62,-0.6516139675347854
3,inference_categories,partial,14,0.66,-0.6553888003858378
3,inference_categories,standard,15,0.66,-0.6926210977633664
3,inference_categories,projected,15,0.64,-0.6465619841223628
3,inference_categories,partial,15,0.68,-0.6518362839457703
3,inference_categories,standard,16,0.64,-0.6925970981871914
3,inference_categories,projected,16,0.64,-0.6434751162064073
3,inference_categories,partial,16,0.66,-0.6478231013217539
3,inference_categories,standard,17,0.66,-0.692486942130205
3,inference_categories,projected,17,0.64,-0.6378544739512345
3,inference_categories,partial,17,0.68,-0.6419696866775171
3,inference_categories,standard,18,0.64,-0.6925113303997922
3,inference_categories,projected,18,0.66,-0.6388112570868656
3,inference_categories,partial,18,0.68,-0.6422029246092908
3,inference_categories,standard,19,0.64,-0.6922148744857562
3,inference_categories,projected,19,0.66,-0.63254535476983
3,inference_categories,partial,19,0.7,-0.6323279194951168
3,inference_categories,standard,20,0.62,-0.6920820234253117
3,inference_categories,projected,20,0.66,-0.627671597940724
3,inference_categories,partial,20,0.68,-0.6254884662088993
1,choice_only,standard,1,0.76,-0.6929826274492978
1,choice_only,projected,1,0.74,-0.6726098497185907
1,choice_only,partial,1,0.74,-0.6726098497185907
1,choice_only,standard,2,0.64,-0.6929834024031126
1,choice_only,projected,2,0.74,-0.6726492177289698
1,choice_only,partial,2,0.74,-0.6726492177289698
1,choice_only,standard,3,0.74,-0.6928648116523536
1,choice_only,projected,3,0.74,-0.6620646392620313
1,choice_only,partial,3,0.74,-0.6620646392620313
1,choice_only,standard,4,0.74,-0.6928026606054322
1,choice_only,projected,4,0.74,-0.6567836059238041
1,choice_only,partial,4,0.74,-0.6567836059238041
1,choice_only,standard,5,0.64,-0.6927478959702578
